SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,date extracted
POL,527.25,536.49,540.0,526.09,527.25,-7.01,-1.31,204629.0,2025-06-01
HWQSNC,11.51,12.48,12.48,11.0,11.51,0.06,0.52,198015.0,2025-06-01
ICIBL,1.47,1.58,1.59,1.44,1.47,-0.08,-5.16,192134.0,2025-06-01
DEL,11.15,11.39,11.79,10.61,11.15,-0.02,-0.18,187657.0,2025-06-01
PAKRI,13.09,13.25,13.45,12.95,13.09,-0.01,-0.08,185054.0,2025-06-01
SPWL,11.9,12.0,12.0,11.8,11.9,0.09,0.76,184310.0,2025-06-01
AICL,46.5,46.05,46.87,46.05,46.5,0.08,0.17,184199.0,2025-06-01
BNWM,37.15,35.7,38.49,35.7,37.15,2.16,6.17,181745.0,2025-06-01
EMCO,53.52,53.52,53.52,50.55,53.52,4.87,10.01,179898.0,2025-06-01
BILFNC,18.64,18.82,19.9,18.6,18.64,0.03,0.16,175783.0,2025-06-01
BAFL,73.63,73.98,74.0,73.25,73.63,0.13,0.18,175108.0,2025-06-01
DSIL,5.01,5.1,5.1,4.91,5.01,-0.02,-0.4,173608.0,2025-06-01
WAHN,315.06,287.47,315.06,287.47,315.06,28.64,10.0,170581.0,2025-06-01
EPQL,28.42,28.1,28.5,28.0,28.42,0.41,1.46,163158.0,2025-06-01
GLAXO,378.81,380.0,385.0,377.0,378.81,-1.64,-0.43,162241.0,2025-06-01
ACPL,315.1,317.0,317.9,312.0,315.1,1.06,0.34,153361.0,2025-06-01
PILNC,3.38,3.28,3.45,3.28,3.38,0.01,0.3,148091.0,2025-06-01
TPLT,6.26,6.05,6.3,5.88,6.26,0.17,2.79,142005.0,2025-06-01
PICT,38.63,39.0,39.0,38.5,38.63,-0.64,-1.63,128580.0,2025-06-01
LSEVL,10.54,10.9,10.9,10.0,10.54,-0.09,-0.85,127465.0,2025-06-01
TRSM,6.05,5.51,6.49,5.51,6.05,0.02,0.33,123760.0,2025-06-01
FFLM,2.25,2.0,2.7,2.0,2.25,0.16,7.66,122414.0,2025-06-01
SEPL,162.39,158.89,166.25,158.89,162.39,7.36,4.75,121952.0,2025-06-01
LPGL,118.47,110.48,118.47,105.55,118.47,10.77,10.0,118048.0,2025-06-01
OBOY,8.62,8.84,8.84,8.51,8.62,0.0,0.0,116776.0,2025-06-01
ALTN,11.71,11.79,11.8,11.6,11.71,0.0,0.0,115791.0,2025-06-01
LPL,23.66,23.9,24.0,23.3,23.66,-0.01,-0.04,115653.0,2025-06-01
MZNPETF,17.66,17.52,17.71,17.47,17.66,0.14,0.8,114500.0,2025-06-01
APL,488.32,465.0,491.0,462.0,488.32,27.96,6.07,113997.0,2025-06-01
GAMONNC,28.3,28.33,29.39,28.02,28.3,-0.03,-0.11,113560.0,2025-06-01
NCPL,24.33,24.51,24.59,24.06,24.33,-0.34,-1.38,109966.0,2025-06-01
FDPL,2.5,2.52,2.59,2.4,2.5,-0.01,-0.4,109542.0,2025-06-01
SAZEW,1185.86,1194.9,1199.0,1182.0,1185.86,-13.44,-1.12,109515.0,2025-06-01
PKGP,141.54,130.0,141.54,130.0,141.54,12.87,10.0,108236.0,2025-06-01
LIVEN,59.3,61.48,62.0,59.01,59.3,-1.25,-2.06,108141.0,2025-06-01
MIIETF,15.43,15.75,15.99,15.03,15.43,0.23,1.51,106500.0,2025-06-01
SKRSNC,11.59,11.95,11.97,11.38,11.59,0.12,1.05,105859.0,2025-06-01
POML,274.2,287.0,298.0,270.0,274.2,1.36,0.5,103600.0,2025-06-01
PABC,110.55,113.0,113.0,109.0,110.55,-2.21,-1.96,99358.0,2025-06-01
ASCNC,7.47,7.38,7.74,7.38,7.47,0.09,1.22,97961.0,2025-06-01
CRTM,14.9,15.01,15.1,14.85,14.9,0.03,0.2,92284.0,2025-06-01
KOHE,17.27,17.13,17.27,17.01,17.27,0.11,0.64,92231.0,2025-06-01
PIOC,215.43,215.1,218.5,214.13,215.43,0.34,0.16,86946.0,2025-06-01
CTM,4.36,4.71,4.71,4.35,4.36,-0.17,-3.75,84576.0,2025-06-01
BCL,91.28,88.54,96.0,88.15,91.28,1.78,1.99,84246.0,2025-06-01
IDRT,25.78,25.0,25.87,24.7,25.78,2.26,9.61,83236.0,2025-06-01
TGL,219.68,215.0,220.0,214.0,219.68,4.35,2.02,83156.0,2025-06-01
CHCC,265.57,261.1,267.5,261.1,265.57,2.01,0.76,80829.0,2025-06-01
BAHL,140.22,142.0,142.0,140.0,140.22,0.17,0.12,78449.0,2025-06-01
JLICL,154.25,139.05,154.32,139.05,154.25,13.96,9.95,78185.0,2025-06-01
FPJM,2.73,2.77,2.85,2.51,2.73,-0.03,-1.09,76512.0,2025-06-01
DYNO,249.62,239.99,257.99,237.1,249.62,13.81,5.86,74625.0,2025-06-01
ABL,129.72,128.25,130.19,127.0,129.72,2.33,1.83,74566.0,2025-06-01
SPLNC,14.58,14.65,14.95,14.41,14.58,0.01,0.07,66328.0,2025-06-01
JGICL,57.02,55.03,57.4,55.03,57.02,0.33,0.58,64227.0,2025-06-01
PAKD,235.58,235.58,235.58,235.58,235.58,21.42,10.0,63835.0,2025-06-01
IMS,52.87,49.0,52.87,49.0,52.87,4.81,10.01,63334.0,2025-06-01
REDCO,25.05,25.0,27.1,25.0,25.05,0.05,0.2,61833.0,2025-06-01
IGIL,24.08,27.0,27.0,23.4,24.08,-1.72,-6.67,61597.0,2025-06-01
NICL,156.97,158.0,161.5,151.25,156.97,-0.25,-0.16,60878.0,2025-06-01
AHL,73.0,73.55,74.0,72.0,73.0,0.28,0.39,60404.0,2025-06-01
NITGETF,27.16,27.06,27.17,26.97,27.16,0.19,0.7,60000.0,2025-06-01
ALIFE,25.72,24.26,26.6,24.04,25.72,0.32,1.26,55863.0,2025-06-01
JSML,38.49,36.87,39.45,36.02,38.49,1.62,4.39,55698.0,2025-06-01
AGSML,5.9,5.91,6.1,5.7,5.9,-0.09,-1.5,54992.0,2025-06-01
PNSC,356.76,352.0,370.0,351.06,356.76,-2.32,-0.65,53098.0,2025-06-01
SSOM,829.74,856.66,865.0,809.5,829.74,0.59,0.07,52614.0,2025-06-01
DADX,69.32,64.97,69.32,64.9,69.32,6.3,10.0,52123.0,2025-06-01
ADMM,43.16,42.0,43.8,41.5,43.16,1.15,2.74,50821.0,2025-06-01
AGIL,109.63,107.0,113.0,107.0,109.63,3.03,2.84,50014.0,2025-06-01
HMB,90.06,90.24,91.85,89.5,90.06,-0.12,-0.13,49794.0,2025-06-01
CLVL,17.72,17.99,18.1,16.61,17.72,0.18,1.03,49436.0,2025-06-01
UDPL,67.2,64.02,71.14,64.02,67.2,2.53,3.91,49030.0,2025-06-01
KTML,185.13,172.71,187.0,172.71,185.13,12.42,7.19,47531.0,2025-06-01
KOHTM,72.81,72.81,72.81,72.81,72.81,6.62,10.0,47201.0,2025-06-01
HIFA,3.55,3.7,3.7,3.41,3.55,0.04,1.14,46567.0,2025-06-01
MRNS,50.56,50.0,52.97,49.05,50.56,1.01,2.04,44881.0,2025-06-01
NPL,35.66,35.8,36.0,35.6,35.66,0.16,0.45,41494.0,2025-06-01
BRRG,23.5,23.5,23.5,22.9,23.5,0.9,3.98,41142.0,2025-06-01
BFMOD,8.86,8.9,8.99,8.0,8.86,0.48,5.73,38673.0,2025-06-01
SERT,14.19,13.35,14.6,13.35,14.19,0.68,5.03,38131.0,2025-06-01
GOC,82.21,88.0,88.46,80.0,82.21,1.79,2.23,37454.0,2025-06-01
IDYM,149.13,156.95,156.95,149.0,149.13,-5.58,-3.61,36769.0,2025-06-01
HALEON,730.07,733.2,740.0,727.0,730.07,-3.09,-0.42,36488.0,2025-06-01
SMCPL,17.5,17.5,17.97,17.49,17.5,0.3,1.74,35168.0,2025-06-01
SCBPL,57.99,58.3,58.9,57.57,57.99,-0.46,-0.79,31502.0,2025-06-01
FECTC,69.8,69.11,70.95,67.11,69.8,0.36,0.52,30477.0,2025-06-01
786,8.35,8.0,8.5,7.8,8.35,0.23,2.83,30052.0,2025-06-01
KOIL,10.81,10.9,11.19,10.66,10.81,0.23,2.17,29164.0,2025-06-01
UBLPETF,27.45,27.2,27.5,24.21,27.45,0.92,3.47,29000.0,2025-06-01
KOHC,386.89,383.9,397.99,375.0,386.89,8.8,2.33,27381.0,2025-06-01
PPP,137.5,138.0,140.0,135.0,137.5,-0.25,-0.18,27157.0,2025-06-01
MWMP,17.16,16.3,17.6,16.3,17.16,1.16,7.25,27112.0,2025-06-01
JDMT,56.19,53.0,56.19,53.0,56.19,5.11,10.0,26469.0,2025-06-01
SGF,76.49,77.0,77.0,76.0,76.49,0.49,0.65,25542.0,2025-06-01
DMTMNC,10.5,11.64,11.7,9.71,10.5,-0.14,-1.32,24906.0,2025-06-01
JVDC,65.27,64.5,65.5,63.27,65.27,0.63,0.98,24369.0,2025-06-01
FRSM,40.0,40.62,40.8,39.5,40.0,-0.62,-1.53,24241.0,2025-06-01
WAFI,164.14,164.9,166.0,162.04,164.14,2.24,1.38,23940.0,2025-06-01
HGFA,9.83,9.38,9.85,9.38,9.83,0.03,0.31,23553.0,2025-06-01
DHPL,38.36,38.39,38.8,38.0,38.36,0.37,0.97,22883.0,2025-06-01
NCMLNC,13.62,13.3,14.0,12.02,13.62,0.26,1.95,21826.0,2025-06-01
SSMLNC,17.31,17.4,17.6,16.32,17.31,0.0,0.0,21557.0,2025-06-01
ECOP,70.86,70.86,70.86,70.86,70.86,6.44,10.0,21524.0,2025-06-01
ESBL,5.92,6.06,6.06,5.51,5.92,-0.08,-1.33,20765.0,2025-06-01
SLYTNC,11.0,10.99,11.74,10.61,11.0,0.33,3.09,20177.0,2025-06-01
MFFL,194.38,196.97,196.97,194.03,194.38,-1.45,-0.74,18590.0,2025-06-01
ACIETF,15.64,15.7,15.7,15.46,15.64,-0.01,-0.06,18500.0,2025-06-01
PKGS,515.87,509.99,535.0,502.21,515.87,8.87,1.75,18447.0,2025-06-01
DWTMNC,7.51,7.9,7.98,6.52,7.51,0.34,4.74,18324.0,2025-06-01
BUXL,145.94,149.0,149.0,140.0,145.94,2.66,1.86,18111.0,2025-06-01
JSIL,25.83,24.98,25.85,24.98,25.83,2.33,9.92,18028.0,2025-06-01
SHEZ,169.08,168.0,185.99,153.0,169.08,-0.92,-0.54,17892.0,2025-06-01
UNIC,16.48,16.79,16.79,16.41,16.48,-0.04,-0.24,17290.0,2025-06-01
SURC,116.25,119.0,120.0,116.0,116.25,-1.75,-1.48,17201.0,2025-06-01
FECM,21.65,21.45,21.65,18.39,21.65,1.97,10.01,16354.0,2025-06-01
OLPL,38.0,38.0,38.09,38.0,38.0,0.0,0.0,15400.0,2025-06-01
JSGBETF,22.2,22.36,22.36,22.2,22.2,0.06,0.27,15000.0,2025-06-01
INKL,15.51,15.25,16.0,14.82,15.51,0.59,3.95,14852.0,2025-06-01
